,sent,quote_tag,text_id,sent_id
0,Aluguer de longa duração leva empresas a tribunal,0,0,1
1,Comércio sem lei,0,0,2
2,Carlos Pessoa Empresas e particulares encontraram em_ o sistema de aluguer de longa duração ' ALD ' a saída para tornear as limitações de_ o acesso a_ o crédito automóvel .,1,0,3
3,"É um negócio em expansão , onde a falta de legislação específica permite a existência de contratos que , em caso de problema ou litígio , deixam os consumidores entre a espada e a parede .",0,0,4
4,"O leitor não tem dinheiro para comprar um automóvel novo a pronto , ou mesmo a prestações ?",0,0,5
5,"O aluguer de longa duração ' ALD ' , anuncia uma publicidade entusiástica e persuasiva , é a solução milagrosa : mediante uma caução relativamente baixa , que funciona como entrada , e uma renda mensal que já inclui o selo de_ o imposto de circulação e o seguro , pode dispor de_ o veículo desejado sem grandes dificuldades .",0,0,6
6,Acesso fácil e mensalidades muito convidativas completam o quadro mirífico destinado a derrubar as últimas reservas de_ o consumidor .,0,0,7
7,Mas será mesmo assim ?,0,0,8
8,"Com a decadência de_ o sistema de compras em grupo e as limitações a_ o crédito , foram surgindo empresas em_ o mercado nacional , geralmente ligadas a bancos ou seguradoras , que propõem uma espécie de aluguer sem condutor em que o cliente se compromete , em geral , a adquirir o veículo em_ o final de_ o contrato .",1,0,9
9,"É uma situação híbrida , distinta de_ o ' leasing ' -- definido por_ a lei como ' contrato de locação financeira ' a que apenas podem aceder empresas e profissões liberais para a aquisição de bens , móveis ou imóveis , afectados ou a afectar a_ as actividades industriais , comerciais ou agrícolas .",1,0,10
10,"Também se afasta de_ a compra a crédito , cuja legislação estipula a entrega inicial de metade de_ o valor total de_ o bem e o pagamento de_ o restante em 12 meses .",0,0,11
11,Em vão se desfolharão as páginas de_ o ' Diário de_ a República ' : o ALD não aparece regulamentado em qualquer diploma legal .,0,0,12
12,"Por outras palavras , é uma actividade sem legislação específica , regendo -se por_ os mecanismos aplicáveis a_ os contratos de aluguer e a_ os contratos de promessa de compra e venda .",0,0,13
13,Tudo isto acontece porque a realidade económica e social anda mais depressa que a sua consagração legal .,0,0,14
14,"O número de empresas que se dedicam a esta actividade tem aumentado a olhos vistos , mas não existem dados concretos nem há conhecimento de qualquer inventário exaustivo , como reconhece a revista ' Dinheiro & Direitos ' em_ um estudo consagrado a_ o tema em_ a sua última edição ' Novembro de 1993 ' .",0,0,15
15,Contratos incompreensíveis,0,0,16
16,"A Associação Portuguesa para a Defesa de_ o Consumidor ' Deco ' , por seu lado , tem sido confrontada com um número crescente de reclamações relacionadas com o ALD .",0,0,17
17,"Os casos analisados por esta organização puseram a descoberto uma realidade complexa , caracterizada por_ a existência de múltiplos contratos-tipo , muito minuciosos e de entendimento difícil por um cidadão médio .",0,0,18
